url,category,area,shop_count,status
/best/spa/seoul,spa,seoul,0,404/SKIP
/best/spa/gangnam,spa,gangnam,0,404/SKIP
/best/spa/myeongdong,spa,myeongdong,0,404/SKIP
/best/spa/hongdae,spa,hongdae,0,404/SKIP
/best/spa/itaewon,spa,itaewon,0,404/SKIP
/best/spa/jongno,spa,jongno,0,404/SKIP
/best/spa/sinchon,spa,sinchon,0,404/SKIP
/best/spa/hapjeong,spa,hapjeong,0,404/SKIP
/best/spa/mapo,spa,mapo,0,404/SKIP
/best/spa/seongsu,spa,seongsu,0,404/SKIP
/best/spa/jamsil,spa,jamsil,0,404/SKIP
/best/spa/yeouido,spa,yeouido,0,404/SKIP
/best/spa/apgujeong,spa,apgujeong,0,404/SKIP
/best/spa/cheongdam,spa,cheongdam,0,404/SKIP
/best/spa/sinsa,spa,sinsa,0,404/SKIP
/best/spa/seocho,spa,seocho,0,404/SKIP
/best/spa/yongsan,spa,yongsan,0,404/SKIP
/best/spa/dongdaemun,spa,dongdaemun,0,404/SKIP
/best/spa/songpa,spa,songpa,0,404/SKIP
/best/tattoo/seoul,tattoo,seoul,1,NOINDEX
/best/tattoo/gangnam,tattoo,gangnam,0,404/SKIP
/best/tattoo/myeongdong,tattoo,myeongdong,0,404/SKIP
/best/tattoo/hongdae,tattoo,hongdae,0,404/SKIP
/best/tattoo/itaewon,tattoo,itaewon,0,404/SKIP
/best/tattoo/jongno,tattoo,jongno,0,404/SKIP
/best/tattoo/sinchon,tattoo,sinchon,0,404/SKIP
/best/tattoo/hapjeong,tattoo,hapjeong,0,404/SKIP
/best/tattoo/mapo,tattoo,mapo,0,404/SKIP
/best/tattoo/seongsu,tattoo,seongsu,0,404/SKIP
/best/tattoo/jamsil,tattoo,jamsil,0,404/SKIP
/best/tattoo/yeouido,tattoo,yeouido,0,404/SKIP
/best/tattoo/apgujeong,tattoo,apgujeong,0,404/SKIP
/best/tattoo/cheongdam,tattoo,cheongdam,0,404/SKIP
/best/tattoo/sinsa,tattoo,sinsa,0,404/SKIP
/best/tattoo/seocho,tattoo,seocho,0,404/SKIP
/best/tattoo/yongsan,tattoo,yongsan,0,404/SKIP
/best/tattoo/dongdaemun,tattoo,dongdaemun,0,404/SKIP
/best/tattoo/songpa,tattoo,songpa,1,NOINDEX
